Language,Provider,Filename,Lines,Code,Comments,Blanks,Complexity,Bytes,ULOC
SVG,shapes/547.svg,547.svg,6,6,0,0,0,606,0
Plain Text,texts/5470.txt,5470.txt,1,1,0,0,0,6,0
Plain Text,texts/5471.txt,5471.txt,1,1,0,0,0,6,0
Plain Text,texts/5472.txt,5472.txt,1,1,0,0,0,3,0
Plain Text,texts/5473.txt,5473.txt,1,1,0,0,0,11,0
Plain Text,texts/5475.txt,5475.txt,1,1,0,0,0,1,0
SVG,shapes/5476.svg,5476.svg,6,6,0,0,0,504,0
SVG,shapes/5477.svg,5477.svg,6,6,0,0,0,429,0
SVG,shapes/5478.svg,5478.svg,6,6,0,0,0,428,0
SVG,shapes/5479.svg,5479.svg,6,6,0,0,0,427,0
SVG,shapes/548.svg,548.svg,6,6,0,0,0,798,0
SVG,shapes/5480.svg,5480.svg,6,6,0,0,0,424,0
SVG,shapes/5481.svg,5481.svg,6,6,0,0,0,427,0
SVG,shapes/5482.svg,5482.svg,6,6,0,0,0,428,0
SVG,shapes/5483.svg,5483.svg,6,6,0,0,0,428,0
SVG,shapes/5484.svg,5484.svg,6,6,0,0,0,429,0
SVG,shapes/5485.svg,5485.svg,6,6,0,0,0,428,0
SVG,shapes/5486.svg,5486.svg,6,6,0,0,0,428,0
SVG,shapes/5487.svg,5487.svg,6,6,0,0,0,427,0
SVG,shapes/5488.svg,5488.svg,6,6,0,0,0,428,0
SVG,shapes/5489.svg,5489.svg,6,6,0,0,0,429,0
SVG,shapes/549.svg,549.svg,8,8,0,0,0,1512,0
SVG,shapes/5490.svg,5490.svg,6,6,0,0,0,425,0
SVG,shapes/5491.svg,5491.svg,6,6,0,0,0,425,0
SVG,shapes/5492.svg,5492.svg,6,6,0,0,0,428,0
SVG,shapes/5493.svg,5493.svg,6,6,0,0,0,429,0
SVG,shapes/5494.svg,5494.svg,6,6,0,0,0,428,0
SVG,shapes/5495.svg,5495.svg,6,6,0,0,0,428,0
SVG,shapes/5496.svg,5496.svg,6,6,0,0,0,427,0
SVG,shapes/5497.svg,5497.svg,6,6,0,0,0,428,0
SVG,shapes/5498.svg,5498.svg,6,6,0,0,0,428,0
SVG,shapes/5499.svg,5499.svg,6,6,0,0,0,429,0
